MTDID;IMG_original;IMG_cleaned;MIDI_EDM;WAV_MTD;WAV_WCM;BMID;EDMID;ComposerID;ComposerBirth;ComposerDeath;WorkID;PerformanceID;CollectionID;MusicBrainzID;LabelID;WCMID;WorkTitle;ThemeLabelBM;ThemeInstruments;WorkInstruments;Ensemble;Polyphony;NameCD;NameTrack;StartTime;EndTime;MidiTransposition;Comment1;Comment2;Comment3
0390;MTD0390_Bach_BWV0846-02.jpg;MTD0390_Bach_BWV0846-02.jpg;MTD0390_Bach_BWV0846-02.mid;MTD0390_Bach_BWV0846-02.wav;Bach_BWV0846-02_Belder_BC-WCM2132.wav;B302;0395;Bach;1685;1750;BWV0846-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2132;fugue;;Harpsichord;Harpsichord;Solo;Monophon+Polyphon;024;Track02;00:00;00:08;-1;;;Fugue late
0391;MTD0391_Bach_BWV0847-01.jpg;MTD0391_Bach_BWV0847-01.jpg;MTD0391_Bach_BWV0847-01.mid;MTD0391_Bach_BWV0847-01.wav;Bach_BWV0847-01_Belder_BC-WCM2133.wav;B303;0396;Bach;1685;1750;BWV0847-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2133;WTC: prelude;;Harpsichord;Harpsichord;Solo;Homophon;024;Track03;00:00.7;00:03.75;-1;;;
0392;MTD0392_Bach_BWV0847-02.jpg;MTD0392_Bach_BWV0847-02.jpg;MTD0392_Bach_BWV0847-02.mid;MTD0392_Bach_BWV0847-02.wav;Bach_BWV0847-02_Belder_BC-WCM2134.wav;B304;0397;Bach;1685;1750;BWV0847-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2134;fugue;;Harpsichord;Harpsichord;Solo;Monophon;024;Track04;00:00;00:05.9;-1;;;
0393;MTD0393_Bach_BWV0848-01.jpg;MTD0393_Bach_BWV0848-01.jpg;MTD0393_Bach_BWV0848-01.mid;MTD0393_Bach_BWV0848-01.wav;Bach_BWV0848-01_Belder_BC-WCM2135.wav;B305;0398;Bach;1685;1750;BWV0848-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2135;Prelude No 3;;Harpsichord;Harpsichord;Solo;Homophon;024;Track05;00:00.5;00:03.5;-1;;;
0394;MTD0394_Bach_BWV0848-02.jpg;MTD0394_Bach_BWV0848-02.jpg;MTD0394_Bach_BWV0848-02.mid;MTD0394_Bach_BWV0848-02.wav;Bach_BWV0848-02_Belder_BC-WCM2136.wav;B306;0399;Bach;1685;1750;BWV0848-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2136;Fugue No 3;;Harpsichord;Harpsichord;Solo;Monophon;024;Track06;00:00;00:05;-1;;;
0395;MTD0395_Bach_BWV0849-01.jpg;MTD0395_Bach_BWV0849-01.jpg;MTD0395_Bach_BWV0849-01.mid;MTD0395_Bach_BWV0849-01.wav;Bach_BWV0849-01_Belder_BC-WCM2137.wav;B307;0400;Bach;1685;1750;BWV0849-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2137;Prelude No 4;;Harpsichord;Harpsichord;Solo;Homophon;024;Track07;00:01;00:12.7;-1;;;
0396;MTD0396_Bach_BWV0849-02.jpg;MTD0396_Bach_BWV0849-02.jpg;MTD0396_Bach_BWV0849-02.mid;MTD0396_Bach_BWV0849-02.wav;Bach_BWV0849-02_Belder_BC-WCM2138.wav;B308;0401;Bach;1685;1750;BWV0849-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2138;Fugue No 4;;Harpsichord;Harpsichord;Solo;Polyphon;024;Track08;00:01;00:13.4;-1;MidiNumberCorrected;;
0397;MTD0397_Bach_BWV0850-01.jpg;MTD0397_Bach_BWV0850-01.jpg;MTD0397_Bach_BWV0850-01.mid;MTD0397_Bach_BWV0850-01.wav;Bach_BWV0850-01_Belder_BC-WCM2139.wav;B309;0402;Bach;1685;1750;BWV0850-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2139;Prelude No 5;;Harpsichord;Harpsichord;Solo;Homophon;024;Track09;00:00.8;00:04.7;-1;MidiNumberCorrected;;
0398;MTD0398_Bach_BWV0850-02.jpg;MTD0398_Bach_BWV0850-02.jpg;MTD0398_Bach_BWV0850-02.mid;MTD0398_Bach_BWV0850-02.wav;Bach_BWV0850-02_Belder_BC-WCM2140.wav;B310;0403;Bach;1685;1750;BWV0850-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2140;Fugue No 5;;Harpsichord;Harpsichord;Solo;Monophon+Polyphon;024;Track10;00:00;00:06.8;-1;MidiNumberCorrected;;Fugue late
0399;MTD0399_Bach_BWV0851-01.jpg;MTD0399_Bach_BWV0851-01.jpg;MTD0399_Bach_BWV0851-01.mid;MTD0399_Bach_BWV0851-01.wav;Bach_BWV0851-01_Belder_BC-WCM2141.wav;B311;0404;Bach;1685;1750;BWV0851-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2141;Prelude No 6;;Harpsichord;Harpsichord;Solo;Homophon;024;Track11;00:01;00:04.5;-1;MidiErrTempo;;
0400;MTD0400_Bach_BWV0851-02.jpg;MTD0400_Bach_BWV0851-02.jpg;MTD0400_Bach_BWV0851-02.mid;MTD0400_Bach_BWV0851-02.wav;Bach_BWV0851-02_Belder_BC-WCM2142.wav;B312;0405;Bach;1685;1750;BWV0851-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2142;Fugue No 6;;Harpsichord;Harpsichord;Solo;Monophon+Polyphon;024;Track12;00:00.2;00:06;-1;;;Fugue late
0401;MTD0401_Bach_BWV0852-01.jpg;MTD0401_Bach_BWV0852-01.jpg;MTD0401_Bach_BWV0852-01.mid;MTD0401_Bach_BWV0852-01.wav;Bach_BWV0852-01_Belder_BC-WCM2143.wav;B313;0406;Bach;1685;1750;BWV0852-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2143;Prelude No 7;;Harpsichord;Harpsichord;Solo;Homophon;024;Track13;00:01.4;00:11;-1;;;
0402;MTD0402_Bach_BWV0852-02.jpg;MTD0402_Bach_BWV0852-02.jpg;MTD0402_Bach_BWV0852-02.mid;MTD0402_Bach_BWV0852-02.wav;Bach_BWV0852-02_Belder_BC-WCM2144.wav;B314;0407;Bach;1685;1750;BWV0852-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2144;Fugue No 7;;Harpsichord;Harpsichord;Solo;Monophon+Homophon;024;Track14;00:00.5;00:05.9;-1;;;
0403;MTD0403_Bach_BWV0853-01.jpg;MTD0403_Bach_BWV0853-01.jpg;MTD0403_Bach_BWV0853-01.mid;MTD0403_Bach_BWV0853-01.wav;Bach_BWV0853-01_Belder_BC-WCM2145.wav;B315;0408;Bach;1685;1750;BWV0853-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2145;Prelude No 8;;Harpsichord;Harpsichord;Solo;Homophon;024;Track15;00:01.5;00:16.4;-1;;;
0404;MTD0404_Bach_BWV0853-02.jpg;MTD0404_Bach_BWV0853-02.jpg;MTD0404_Bach_BWV0853-02.mid;MTD0404_Bach_BWV0853-02.wav;Bach_BWV0853-02_Belder_BC-WCM2146.wav;B316;0409;Bach;1685;1750;BWV0853-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2146;Fugue No 8;;Harpsichord;Harpsichord;Solo;Monophon+Polyphon;024;Track16;00:01;00:14;-1;;;Fugue late
0405;MTD0405_Bach_BWV0854-01.jpg;MTD0405_Bach_BWV0854-01.jpg;MTD0405_Bach_BWV0854-01.mid;MTD0405_Bach_BWV0854-01.wav;Bach_BWV0854-01_Belder_BC-WCM2147.wav;B317;0410;Bach;1685;1750;BWV0854-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2147;Prelude No 9;;Harpsichord;Harpsichord;Solo;Homophon;024;Track17;00:00.6;00:09;-1;;;
0406;MTD0406_Bach_BWV0854-02.jpg;MTD0406_Bach_BWV0854-02.jpg;MTD0406_Bach_BWV0854-02.mid;MTD0406_Bach_BWV0854-02.wav;Bach_BWV0854-02_Belder_BC-WCM2148.wav;B318;0411;Bach;1685;1750;BWV0854-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2148;Fugue No 9;;Harpsichord;Harpsichord;Solo;Monophon+Polyphon;024;Track18;00:00.5;00:04.6;-1;;;
0407;MTD0407_Bach_BWV0855-01.jpg;MTD0407_Bach_BWV0855-01.jpg;MTD0407_Bach_BWV0855-01.mid;MTD0407_Bach_BWV0855-01.wav;Bach_BWV0855-01_Belder_BC-WCM2149.wav;B319;0412;Bach;1685;1750;BWV0855-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2149;Prelude No 10;;Harpsichord;Harpsichord;Solo;Homophon;024;Track19;00:01;00:15;-1;MidiErr, MidiErrTempo;missing trill;
0408;MTD0408_Bach_BWV0855-02.jpg;MTD0408_Bach_BWV0855-02.jpg;MTD0408_Bach_BWV0855-02.mid;MTD0408_Bach_BWV0855-02.wav;Bach_BWV0855-02_Belder_BC-WCM2150.wav;B320;0413;Bach;1685;1750;BWV0855-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2150;Fugue No 10;;Harpsichord;Harpsichord;Solo;Monophon+Homophon;024;Track20;00:00.6;00:04.5;-1;;;
0409;MTD0409_Bach_BWV0856-01.jpg;MTD0409_Bach_BWV0856-01.jpg;MTD0409_Bach_BWV0856-01.mid;MTD0409_Bach_BWV0856-01.wav;Bach_BWV0856-01_Belder_BC-WCM2151.wav;B321;0414;Bach;1685;1750;BWV0856-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2151;Prelude No 11;;Harpsichord;Harpsichord;Solo;Polyphon;024;Track21;00:00.6;00:05.5;-1;;;
0410;MTD0410_Bach_BWV0856-02.jpg;MTD0410_Bach_BWV0856-02.jpg;MTD0410_Bach_BWV0856-02.mid;MTD0410_Bach_BWV0856-02.wav;Bach_BWV0856-02_Belder_BC-WCM2152.wav;B322;0415;Bach;1685;1750;BWV0856-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2152;Fugue No 11;;Harpsichord;Harpsichord;Solo;Monophon;024;Track22;00:00.4;00:05.2;-1;;;
0411;MTD0411_Bach_BWV0857-01.jpg;MTD0411_Bach_BWV0857-01.jpg;MTD0411_Bach_BWV0857-01.mid;MTD0411_Bach_BWV0857-01.wav;Bach_BWV0857-01_Belder_BC-WCM2153.wav;B323;0416;Bach;1685;1750;BWV0857-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2153;Prelude No 12;;Harpsichord;Harpsichord;Solo;Homophon;024;Track23;00:01.4;00:12.5;-1;MidiErrTempo;Midi Theme in two voices;
0412;MTD0412_Bach_BWV0857-02.jpg;MTD0412_Bach_BWV0857-02.jpg;MTD0412_Bach_BWV0857-02.mid;MTD0412_Bach_BWV0857-02.wav;Bach_BWV0857-02_Belder_BC-WCM2154.wav;B324;0417;Bach;1685;1750;BWV0857-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2154;Fugue No 12;;Harpsichord;Harpsichord;Solo;Monophon+Polyphon;024;Track24;00:00;00:16.4;-1;;;Fugue late
0413;MTD0413_Bach_BWV0858-01.jpg;MTD0413_Bach_BWV0858-01.jpg;MTD0413_Bach_BWV0858-01.mid;MTD0413_Bach_BWV0858-01.wav;Bach_BWV0858-01_Belder_BC-WCM2155.wav;B325;0418;Bach;1685;1750;BWV0858-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2155;Prelude No 13;;Harpsichord;Harpsichord;Solo;Polyphon;025;Track01;00:01;00:06.3;-1;;;
0414;MTD0414_Bach_BWV0858-02.jpg;MTD0414_Bach_BWV0858-02.jpg;MTD0414_Bach_BWV0858-02.mid;MTD0414_Bach_BWV0858-02.wav;Bach_BWV0858-02_Belder_BC-WCM2156.wav;B326;0419;Bach;1685;1750;BWV0858-02;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2156;Fugue No 13;;Harpsichord;Harpsichord;Solo;Monophon;025;Track02;00:00.2;00:07.2;-1;;;
0415;MTD0415_Bach_BWV0859-01.jpg;MTD0415_Bach_BWV0859-01.jpg;MTD0415_Bach_BWV0859-01.mid;MTD0415_Bach_BWV0859-01.wav;Bach_BWV0859-01_Belder_BC-WCM2157.wav;B327;0420;Bach;1685;1750;BWV0859-01;Belder;Composer/Bach_CompleteEdition_BC;cf74e971-b791-4c23-ab2d-2189e6f8195a;BC;2157;Prelude No 14;;Harpsichord;Harpsichord;Solo;Polyphon;025;Track03;00:00.6;00:06;-1;;;
